NOME|ESTADO|CODIGO_IBGE|CODIGO_SIAFI|CODIGO_ANP|DDD|CEP
Abadia de Goiás|GO|5200050|1050|2049|62|75345000
Abadia dos Dourados|MG|3100104|4001|2620|34|38540000
Abadiânia|GO|5200100|9201|2050|62|72940000
Abaeté|MG|3100203|4003|2621|37|35620000
Abaetetuba|PA|1500107|0401|4522|91|68440000
Abaiara|CE|2300101|1301|1122|88|63240000
Abaíra|BA|2900108|3301|326|77|46690000
Abaré|BA|2900207|3303|327|75|48680000
Abatiá|PR|4100103|7401|5731|43|86460000
Abdon Batista|SC|4200051|9939|8319|49|89636000
Abel Figueiredo|PA|1500131|0375|4523|94|68527000
Abelardo Luz|SC|4200101|8001|8320|49|89830000
Abre Campo|MG|3100302|4005|2624|31|35365000
Abreu e Lima|PE|2600054|2631|5135|81|
Abreulândia|TO|1700251|0337|9791|63|77693000
Acaiaca|MG|3100401|4007|2626|31|35438000
Açailândia|MA|2100055|0961|2369|99|65930000
Acajutiba|BA|2900306|3305|331|75|48360000
Acará|PA|1500206|0403|4524|91|68690000
Acarape|CE|2300150|1231|1124|85|62785000
Acaraú|CE|2300200|1303|1125|88|62580000
Acari|RN|2400109|1601|7124|84|59370000
Acauã|PI|2200053|0266|5508|89|64748000
Aceguá|RS|4300034|1118|7388|53|96445000
Acopiara|CE|2300309|1305|1126|88|63560000
Acorizal|MT|5100102|9001|4272|65|78480000
Acrelândia|AC|1200013|0643|1|68|69945000
Acreúna|GO|5200134|9645|2051|64|75960000
Açucena|MG|3100500|4009|2627|33|35150000
Açu|RN|2400208|1603|7125|84|59650000
Adamantina|SP|3500105|6101|8853|18|17800000
Adelândia|GO|5200159|9769|2052|64|76155000
Adolfo|SP|3500204|6103|8854|17|15230000
Adrianópolis|PR|4100202|7403|5735|41|83490000
Adustina|BA|2900355|3253|335|75|48435000
Afogados da Ingazeira|PE|2600104|2301|5136|87|56800000
Afonso Bezerra|RN|2400307|1605|7126|84|59510000
Afonso Cláudio|ES|3200102|5601|1798|27|29600000
Afonso Cunha|MA|2100105|0701|2370|98|65505000
Afrânio|PE|2600203|2303|5137|87|56360000
Afuá|PA|1500305|0405|4525|91|68890000
Agrestina|PE|2600302|2305|5138|81|55495000
Agricolândia|PI|2200103|1001|5509|86|64440000
Agrolândia|SC|4200200|8003|8321|47|88420000
Agronômica|SC|4200309|8005|8322|47|89188000
Água Azul do Norte|PA|1500347|0383|4527|94|68533000
Água Boa|MG|3100609|4011|2630|33|39790000
Água Boa|MT|5100201|9191|4273|66|78635000
Água Branca|AL|2700102|2701|23|82|57490000
Água Branca|PB|2500106|1901|4848|83|58748000
Água Branca|PI|2200202|1003|5510|86|64460000
Água Clara|MS|5000203|9003|4103|67|79680000
Água Comprida|MG|3100708|4013|2632|34|38110000
Água Doce do Maranhão|MA|2100154|0104|2371|98|65578000
Água Doce do Norte|ES|3200169|5717|1800|27|29820000
Água Doce|SC|4200408|8007|8323|49|89654000
Água Fria de Goiás|GO|5200175|9771|2053|62|73780000
Água Fria|BA|2900405|3307|339|75|48170000
Água Limpa|GO|5200209|9203|2054|64|75665000
Água Nova|RN|2400406|1607|7127|84|59995000
Água Preta|PE|2600401|2307|5140|81|55550000
Água Santa|RS|4300059|8499|7390|54|99965000
Aguaí|SP|3500303|6105|8857|19|13860000
Aguanil|MG|3100807|4015|2634|35|37273000
Águas Belas|PE|2600500|2309|5141|87|55340000
Águas da Prata|SP|3500402|6107|8858|19|13890000
Águas de Chapecó|SC|4200507|8009|8326|49|89883000
Águas de Lindóia|SP|3500501|6109|8859|19|13940000
Águas de Santa Bárbara|SP|3500550|7019|8860|14|18770000
Águas de São Pedro|SP|3500600|6111|8861|19|13525000
Águas Formosas|MG|3100906|4017|2638|33|39880000
Águas Frias|SC|4200556|5577|8327|49|89843000
Águas Lindas de Goiás|GO|5200258|1052|2055|61|
Águas Mornas|SC|4200606|8011|8328|48|88150000
Águas Vermelhas|MG|3101003|4019|2639|33|39990000
Agudo|RS|4300109|8501|7392|55|96540000
Agudos do Sul|PR|4100301|7405|5743|41|83850000
Agudos|SP|3500709|6113|8862|14|17120000
Águia Branca|ES|3200136|5733|1801|27|29795000
Aguiarnópolis|TO|1700301|0072|9792|63|77908000
Aguiar|PB|2500205|1903|4849|83|58778000
Aimorés|MG|3101102|4021|2640|33|35200000
Aiquara|BA|2900603|3311|341|73|45220000
Aiuaba|CE|2300408|1307|1131|88|63575000
Aiuruoca|MG|3101201|4023|2641|35|37450000
Ajuricaba|RS|4300208|8503|7393|55|98750000
Alagoa Grande|PB|2500304|1905|4850|83|58388000
Alagoa Nova|PB|2500403|1907|4851|83|58125000
Alagoa|MG|3101300|4025|2642|35|37458000
Alagoinha do Piauí|PI|2200251|9767|5511|89|64655000
Alagoinha|PB|2500502|1909|4852|83|58390000
Alagoinha|PE|2600609|2311|5143|87|55260000
Alagoinhas|BA|2900702|3313|342|75|
Alambari|SP|3500758|2995|8865|15|18220000
Albertina|MG|3101409|4027|2643|35|37596000
Alcântara|MA|2100204|0703|2372|98|65250000
Alcântaras|CE|2300507|1309|1134|88|62120000
Alcantil|PB|2500536|0440|4853|83|58460000
Alcinópolis|MS|5000252|0141|4105|67|79530000
Alcobaça|BA|2900801|3315|343|73|45990000
Aldeias Altas|MA|2100303|0705|2373|99|65610000
Alecrim|RS|4300307|8505|7395|55|98950000
Alegre|ES|3200201|5603|1803|28|29500000
Alegrete do Piauí|PI|2200277|2269|5512|89|64675000
Alegrete|RS|4300406|8507|7396|55|
Alegria|RS|4300455|8497|7397|55|98905000
Além Paraíba|MG|3101508|4029|2649|32|36660000
Alenquer|PA|1500404|0407|4529|93|68200000
Alexandria|RN|2400505|1609|7128|84|59965000
Alexânia|GO|5200308|9205|2056|62|72930000
Alfenas|MG|3101607|4031|2651|35|37130000
Alfredo Chaves|ES|3200300|5605|1804|27|29240000
Alfredo Marcondes|SP|3500808|6115|8870|18|19180000
Alfredo Vasconcelos|MG|3101631|2681|2652|32|36272000
Alfredo Wagner|SC|4200705|8013|8331|48|88450000
Algodão de Jandaíra|PB|2500577|0442|4854|83|58399000
Alhandra|PB|2500601|1911|4855|83|58320000
Aliança do Tocantins|TO|1700350|9441|9793|63|77455000
Aliança|PE|2600708|2313|5146|81|55890000
Almadina|BA|2900900|3317|347|73|45640000
Almas|TO|1700400|9207|9794|63|77310000
Almeirim|PA|1500503|0409|4531|93|68230000
Almenara|MG|3101706|4033|2654|33|39900000
Almino Afonso|RN|2400604|1611|7129|84|59760000
Almirante Tamandaré do Sul|RS|4300471|1120|7399|54|99523000
Almirante Tamandaré|PR|4100400|7407|5746|41|
Aloândia|GO|5200506|9209|2057|64|75615000
Alpercata|MG|3101805|4035|2655|33|35138000
Alpestre|RS|4300505|8509|7400|55|98480000
Alpinópolis|MG|3101904|4037|2656|35|37940000
Alta Floresta d'Oeste|RO|1100015|0033|7312|69|76954000
Alta Floresta|MT|5100250|8987|4280|66|78580000
Altair|SP|3500907|6117|8871|17|15430000
Altamira do Maranhão|MA|2100402|0707|2374|98|65310000
Altamira do Paraná|PR|4100459|8455|5747|42|85280000
Altamira|PA|1500602|0411|4534|93|
Altaneira|CE|2300606|1311|1137|88|63195000
Alterosa|MG|3102001|4039|2657|35|37145000
Altinho|PE|2600807|2315|5147|81|55490000
Altinópolis|SP|3501004|6119|8872|16|14350000
Alto Alegre do Maranhão|MA|2100436|0106|2375|99|65413000
Alto Alegre do Pindaré|MA|2100477|0108|2376|98|65398000
Alto Alegre dos Parecis|RO|1100379|0002|7311|69|76952000
Alto Alegre|RR|1400050|0305|7373|95|69350000
Alto Alegre|RS|4300554|8495|7401|54|99430000
Alto Alegre|SP|3501103|6121|8873|18|16310000
Alto Araguaia|MT|5100300|9005|4281|66|78780000
Alto Bela Vista|SC|4200754|0886|8333|49|89730000
Alto Boa Vista|MT|5100359|0127|4282|66|78665000
Alto Caparaó|MG|3102050|0564|2658|32|36979000
Alto do Rodrigues|RN|2400703|1613|7130|84|59507000
Alto Feliz|RS|4300570|6045|7404|51|95773000
Alto Garças|MT|5100409|9007|4284|66|78770000
Alto Horizonte|GO|5200555|0085|2059|62|76560000
Alto Jequitibá|MG|3153509|5069|2661|33|36976000
Alto Longá|PI|2200301|1005|5513|86|64360000
Alto Paraguai|MT|5100508|9009|4286|65|78410000
Alto Paraíso de Goiás|GO|5200605|9211|2060|62|73770000
Alto Paraíso|PR|4128625|5523|6812|44|87528000
Alto Paraíso|RO|1100403|0675|7313|69|76862000
Alto Paraná|PR|4100608|7409|5755|44|87750000
Alto Parnaíba|MA|2100501|0709|2377|99|65810000
Alto Piquiri|PR|4100707|7411|5756|44|87580000
Alto Rio Doce|MG|3102100|4041|2663|32|36260000
Alto Rio Novo|ES|3200359|5719|1808|27|29760000
Alto Santo|CE|2300705|1313|1138|88|62970000
Alto Taquari|MT|5100607|9911|4288|66|78785000
Altônia|PR|4100509|7951|5761|44|87550000
Altos|PI|2200400|1007|5514|86|64290000
Alumínio|SP|3501152|3065|8875|11|18125000
Alvarães|AM|1300029|0289|191|97|69475000
Alvarenga|MG|3102209|4043|2666|33|35249000
Álvares Florence|SP|3501202|6123|8876|17|15540000
Álvares Machado|SP|3501301|6125|8877|18|19160000
Álvaro de Carvalho|SP|3501400|6127|8878|14|17410000
Alvinlândia|SP|3501509|6129|8879|14|17430000
Alvinópolis|MG|3102308|4045|2667|31|35950000
Alvorada de Minas|MG|3102407|4047|2669|31|39140000
Alvorada do Gurguéia|PI|2200459|0268|5515|89|64923000
Alvorada do Norte|GO|5200803|9215|2061|62|73950000
Alvorada do Sul|PR|4100806|7413|5763|43|86150000
Alvorada d'Oeste|RO|1100346|0035|7314|69|76930000
Alvorada|RS|4300604|8511|7408|51|
Alvorada|TO|1700707|9213|9795|63|77480000
Amajari|RR|1400027|0026|7374|95|69343000
Amambai|MS|5000609|9011|4107|67|79990000
Amapá do Maranhão|MA|2100550|0110|2378|98|65293000
Amapá|AP|1600105|0601|280|96|68950000
Amaporã|PR|4100905|7415|5764|44|87850000
Amaraji|PE|2600906|2317|5148|81|55515000
Amaral Ferrador|RS|4300638|8493|7409|51|96635000
Amaralina|GO|5200829|1054|2062|62|76493000
Amarante do Maranhão|MA|2100600|0711|2379|99|65923000
Amarante|PI|2200509|1009|5516|86|64400000
Amargosa|BA|2901007|3319|351|75|45300000
Amaturá|AM|1300060|0291|193|97|69620000
Amélia Rodrigues|BA|2901106|3321|352|75|44230000
América Dourada|BA|2901155|3071|353|74|44910000
Americana|SP|3501608|6131|8883|19|
Americano do Brasil|GO|5200852|9661|2063|64|76165000
Américo Brasiliense|SP|3501707|6133|8884|16|14820000
Américo de Campos|SP|3501806|6135|8885|17|15550000
Ametista do Sul|RS|4300646|5969|7410|55|98465000
Amontada|CE|2300754|1587|1145|88|62540000
Amorinópolis|GO|5200902|9217|2064|64|76140000
Amparo da Serra|MG|3102506|4049|2673|31|35444000
Amparo de São Francisco|SE|2800100|3101|8768|79|49920000
Amparo|PB|2500734|0444|4856|83|58548000
Amparo|SP|3501905|6137|8886|19|
Ampére|PR|4101002|7417|5766|46|85640000
Anadia|AL|2700201|2703|26|82|57660000
Anagé|BA|2901205|3323|355|77|45180000
Anahy|PR|4101051|5463|5767|45|85425000
Anajás|PA|1500701|0413|4538|91|68810000
Anajatuba|MA|2100709|0713|2380|98|65490000
Analândia|SP|3502002|6139|8888|19|13550000
Anamã|AM|1300086|0293|194|97|69445000
Ananás|TO|1701002|9219|9797|63|77890000
Ananindeua|PA|1500800|0415|4539|91|
Anápolis|GO|5201108|9221|2065|62|
Anapu|PA|1500859|0040|4540|91|68365000
Anapurus|MA|2100808|0715|2381|98|65525000
Anastácio|MS|5000708|9013|4110|67|79210000
Anaurilândia|MS|5000807|9015|4111|67|79770000
Anchieta|ES|3200409|5607|1810|28|29230000
Anchieta|SC|4200804|8015|8335|49|89970000
Andaraí|BA|2901304|3325|356|75|46830000
Andirá|PR|4101101|7419|5768|43|86380000
Andorinha|BA|2901353|3255|357|74|48990000
Andradas|MG|3102605|4051|2675|35|37795000
Andradina|SP|3502101|6141|8891|18|
André da Rocha|RS|4300661|8491|7411|54|95310000
Andrelândia|MG|3102803|4055|2676|35|37300000
Angatuba|SP|3502200|6143|8892|15|18240000
Angelândia|MG|3102852|0566|2679|33|39685000
Angélica|MS|5000856|9169|4112|67|79785000
Angelim|PE|2601003|2319|5150|87|55430000
Angelina|SC|4200903|8017|8336|48|88460000
Angical do Piauí|PI|2200608|1011|5517|86|64410000
Angical|BA|2901403|3327|358|77|47960000
Angicos|RN|2400802|1615|7131|84|59515000
Angico|TO|1701051|0165|9798|63|77905000
Angra dos Reis|RJ|3300100|5801|6845|24|
Anguera|BA|2901502|3329|360|75|44670000
Ângulo|PR|4101150|5509|5771|44|86755000
Anhanguera|GO|5201207|9223|2066|64|75770000
Anhembi|SP|3502309|6145|8893|14|18620000
Anhumas|SP|3502408|6147|8894|18|19580000
Anicuns|GO|5201306|9225|2067|64|76170000
Anísio de Abreu|PI|2200707|1013|5518|89|64780000
Anita Garibaldi|SC|4201000|8019|8337|49|88590000
Anitápolis|SC|4201109|8021|8338|48|88475000
Anori|AM|1300102|0203|195|97|69440000
Anta Gorda|RS|4300703|8513|7412|51|95980000
