CODIGO|DESCRICAO
101|Análise e desenvolvimento de sistemas
102|Programação
103|Processamento de dados e congêneres
104|Elaboração de programas de computadores, inclusive de jogos eletrônicos
105|Licenciamento ou cessão de direito de uso de programas de computação
106|Assessoria e consultoria em informática
107|Suporte técnico em informática, inclusive instalação, configuração e manutenção de programas de computação e bancos de dados
108|Planejamento, confecção, manutenção e atualização de páginas eletrônicas
201|Serviços de pesquisas e desenvolvimento de qualquer natureza
302|Cessão de direito de uso de marcas e de sinais de propaganda
303|Exploração de salões de festas, centro de convenções, escritórios virtuais, stands, quadras esportivas, estádios, ginásios, auditórios, casas de espetáculos, parques de diversões, canchas e congêneres, para realização de eventos ou negócios de qualquer natureza
304|Locação, sublocação, arrendamento, direito de passagem ou permissão de uso, compartilhado ou não, de ferrovia, rodovia, postes, cabos, dutos e condutos de qualquer natureza
305|Cessão de andaimes, palcos, coberturas e outras estruturas de uso temporário
401|Medicina e biomedicina
402|Análises clínicas, patologia, eletricidade médica, radioterapia, quimioterapia, ultra-sonografia, ressonância magnética, radiologia, tomografia e congêneres
403|Hospitais, clínicas, laboratórios, sanatórios, manicômios, casas de saúde, prontos-socorros, ambulatórios e congêneres
404|Instrumentação cirúrgica
405|Acupuntura
406|Enfermagem, inclusive serviços auxiliares
407|Serviços farmacêuticos
408|Terapia ocupacional, fisioterapia e fonoaudiologia
409|Terapias de qualquer espécie destinadas ao tratamento físico, orgânico e mental
410|Nutrição
411|Obstetrícia
412|Odontologia
413|Ortóptica
414|Próteses sob encomenda
415|Psicanálise
416|Psicologia
417|Casas de repouso e de recuperação, creches, asilos e congêneres
418|Inseminação artificial, fertilização in vitro e congêneres
419|Bancos de sangue, leite, pele, olhos, óvulos, sêmen e congêneres
420|Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie
421|Unidade de atendimento, assistência ou tratamento móvel e congêneres
422|Planos de medicina de grupo ou individual e convênios para prestação de assistência médica, hospitalar, odontológica e congêneres
423|Outros planos de saúde que se cumpram através de serviços de terceiros contratados, credenciados, cooperados ou apenas pagos pelo operador do plano mediante indicação do beneficiário
501|Medicina veterinária e zootecnia
502|Hospitais, clínicas, ambulatórios, prontos-socorros e congêneres, na área veterinária
503|Laboratórios de análise na área veterinária
504|Inseminação artificial, fertilização in vitro e congêneres
505|Bancos de sangue e de órgãos e congêneres
506|Coleta de sangue, leite, tecidos, sêmen, órgãos e materiais biológicos de qualquer espécie
507|Unidade de atendimento, assistência ou tratamento móvel e congêneres
508|Guarda, tratamento, amestramento, embelezamento, alojamento e congêneres
509|Planos de atendimento e assistência médico-veterinária
601|Barbearia, cabeleireiros, manicuros, pedicuros e congêneres
602|Esteticistas, tratamento de pele, depilação e congêneres
603|Banhos, duchas, sauna, massagens e congêneres
604|Ginástica, dança, esportes, natação, artes marciais e demais atividades físicas
605|Centros de emagrecimento, spa e congêneres
701|Engenharia, agronomia, agrimensura, arquitetura, geologia, urbanismo, paisagismo e congêneres
702|Execução, por administração, empreitada ou subempreitada, de obras de construção civil, hidráulica ou elétrica e de outras obras semelhantes
703|Elaboração de planos diretores, estudos de viabilidade, estudos organizacionais e outros, relacionados com obras e serviços de engenharia; elaboração de anteprojetos, projetos básicos e projetos executivos para trabalhos de engenharia
704|Demolição
705|Reparação, conservação e reforma de edifícios, estradas, pontes, portos e congêneres (exceto o fornecimento de mercadorias produzidas pelo prestador dos serviços, fora do local da prestação dos serviços, que fica sujeito ao ICMS)
706|Colocação e instalação de tapetes, carpetes, assoalhos, cortinas, revestimentos de parede, vidros, divisórias, placas de gesso e congêneres, com material fornecido pelo tomador do serviço
707|Recuperação, raspagem, polimento e lustração de pisos e congêneres
708|Calafetação
709|Varrição, coleta, remoção, incineração, tratamento, reciclagem, separação e destinação final de lixo, rejeitos e outros resíduos quaisquer
710|Limpeza, manutenção e conservação de vias e logradouros públicos, imóveis, chaminés, piscinas, parques, jardins e congêneres
711|Decoração e jardinagem, inclusive corte e poda de árvores
712|Controle e tratamento de efluentes de qualquer natureza e de agentes físicos, químicos e biológicos
713|Dedetização, desinfecção, desinsetização, imunização, higienização, desratização, pulverização e congêneres
716|Florestamento, reflorestamento, semeadura, adubação e congêneres
717|Escoramento, contenção de encostas e serviços congêneres
718|Limpeza e dragagem de rios, portos, canais, baías, lagos, lagoas, represas, açudes e congêneres
719|Acompanhamento e fiscalização da execução de obras de engenharia, arquitetura e urbanismo
720|Aerofotogrametria (inclusive interpretação), cartografia, mapeamento, levantamentos topográficos, batimétricos, geográficos, geodésicos, geológicos, geofísicos e congêneres
721|Pesquisa, perfuração, cimentação, mergulho, perfilagem, concretação, testemunhagem, pescaria, estimulação e outros serviços relacionados com a exploração e explotação de petróleo, gás natural e de outros recursos minerais
722|Nucleação e bombardeamento de nuvens e congêneres
801|Ensino regular pré-escolar, fundamental, médio e superior
802|Instrução, treinamento, orientação pedagógica e educacional, avaliação de conhecimentos de qualquer natureza
901|Hospedagem de qualquer natureza em hotéis, apart-service condominiais, flat, apart-hotéis, hotéis residência, residence-service, suite service, hotelaria marítima, motéis, pensões e congêneres; ocupação por temporada com fornecimento de serviço
902|Agenciamento, organização, promoção, intermediação e execução de programas de turismo, passeios, viagens, excursões, hospedagens e congêneres
903|Guias de turismo
1001|Agenciamento, corretagem ou intermediação de câmbio, de seguros, de cartões de crédito, de planos de saúde e de planos de previdência privada
1002|Agenciamento, corretagem ou intermediação de títulos em geral, valores mobiliários e contratos quaisquer
1003|Agenciamento, corretagem ou intermediação de direitos de propriedade industrial, artística ou literária
1004|Agenciamento, corretagem ou intermediação de contratos de arrendamento mercantil (leasing), de franquia (franchising) e de faturização (factoring)
1005|Agenciamento, corretagem ou intermediação de bens móveis ou imóveis, não abrangidos em outros itens ou subitens, inclusive aqueles realizados no âmbito de Bolsas de Mercadorias e Futuros, por quaisquer meios
1006|Agenciamento marítimo
1007|Agenciamento de notícias
1008|Agenciamento de publicidade e propaganda, inclusive o agenciamento de veiculação por quaisquer meios
1009|Representação de qualquer natureza, inclusive comercial
1010|Distribuição de bens de terceiros
1101|Guarda e estacionamento de veículos terrestres automotores, de aeronaves e de embarcações
1102|Vigilância, segurança ou monitoramento de bens e pessoas
1103|Escolta, inclusive de veículos e cargas
1104|Armazenamento, depósito, carga, descarga, arrumação e guarda de bens de qualquer espécie
1201|Espetáculos teatrais
1202|Exibições cinematográficas
1203|Espetáculos circenses
1204|Programas de auditório
1205|Parques de diversões, centros de lazer e congêneres
1206|Boates, taxi-dancing e congêneres
1207|Shows, ballet, danças, desfiles, bailes, óperas, concertos, recitais, festivais e congêneres
1208|Feiras, exposições, congressos e congêneres
1209|Bilhares, boliches e diversões eletrônicas ou não
1210|Corridas e competições de animais
1211|Competições esportivas ou de destreza física ou intelectual, com ou sem a participação do espectador
1212|Execução de música
1213|Produção, mediante ou sem encomenda prévia, de eventos, espetáculos, entrevistas, shows, ballet, danças, desfiles, bailes, teatros, óperas, concertos, recitais, festivais e congêneres
1214|Fornecimento de música para ambientes fechados ou não, mediante transmissão por qualquer processo
1215|Desfiles de blocos carnavalescos ou folclóricos, trios elétricos e congêneres
1216|Exibição de filmes, entrevistas, musicais, espetáculos, shows, concertos, desfiles, óperas, competições esportivas, de destreza intelectual ou congêneres
1217|Recreação e animação, inclusive em festas e eventos de qualquer natureza
1302|Fonografia ou gravação de sons, inclusive trucagem, dublagem, mixagem e congêneres
1303|Fotografia e cinematografia, inclusive revelação, ampliação, cópia, reprodução, trucagem e congêneres
1304|Reprografia, microfilmagem e digitalização
1305|Composição gráfica, fotocomposição, clicheria, zincografia, litografia, fotolitografia
